Task ID,Sprint,Component / תחום,Task Description,Owner,Dependencies,Status,Due Date
BF-000,Sprint 0 – Foundations & Alignment (הקמת תשתיות ותיאום),System Architecture,"Document a modular blueprint that maps the web app, mobile apps, backend modules, databases, and external services so every team knows how parts talk to each other.",Solution Architect,,Not Started,
BF-001,Sprint 0 – Foundations & Alignment (הקמת תשתיות ותיאום),DevOps,"Create Git repositories and CI/CD pipelines for web, mobile, and backend so code can be tested and deployed to staging automatically.",DevOps Lead,BF-000,Not Started,
BF-002,Sprint 0 – Foundations & Alignment (הקמת תשתיות ותיאום),Infrastructure,"Provision cloud environments (dev, staging, production), connect secrets management, and enable HTTPS so services can run securely.",Infra Lead,BF-001,Not Started,
BF-003,Sprint 0 – Foundations & Alignment (הקמת תשתיות ותיאום),Design System,"Build shared design tokens (colors, fonts, spacing) and starter UI kit components that both web and mobile teams can import for consistent screens.",Product Designer,BF-001,Not Started,
BF-004,Sprint 0 – Foundations & Alignment (הקמת תשתיות ותיאום),Auth,"Set up the Firebase project with email, Google, and Apple providers plus JWT hand-off to the backend so authentication groundwork exists.",Backend Lead,BF-002,Not Started,
BF-005,Sprint 0 – Foundations & Alignment (הקמת תשתיות ותיאום),Payments,"Connect to Tranzilla sandbox, store API keys securely, and run a test 1₪ pre-authorization to prove payment gateway access works before building flows.",Payments Engineer,BF-002,Not Started,
BF-101,Sprint 1 – Core Shopping Experience (חוויית קנייה),Homepage Web,"Implement dynamic homepage sections (Near Goal, Market-Breaking Deals, New Arrivals) with product cards that show discount, progress bar, and CTA.",Frontend Lead,BF-003,Not Started,
BF-102,Sprint 1 – Core Shopping Experience (חוויית קנייה),Groups API,"Build backend endpoints for near-goal, top-discount, and new groups with Redis caching so homepage data loads fast even under traffic spikes.",Backend Lead,BF-000;BF-002,Not Started,
BF-103,Sprint 1 – Core Shopping Experience (חוויית קנייה),Categories UI,"Create the category grid and feed screens with sorting (Closest to Goal, Highest Discount, Newest) plus loading skeletons for slow connections.",Frontend Lead,BF-102,Not Started,
BF-104,Sprint 1 – Core Shopping Experience (חוויית קנייה),Catalog API,"Deliver /products and /product/:id endpoints that return pricing, discount percentage, specs, and active group progress for the UI.",Backend Lead,BF-000,Not Started,
BF-105,Sprint 1 – Core Shopping Experience (חוויית קנייה),Product Page,"Design a responsive product detail page showing carousel, price comparison, countdown timer, progress bar, wishlist icon, and Join button.",Frontend Lead,BF-104;BF-003,Not Started,
BF-106,Sprint 1 – Core Shopping Experience (חוויית קנייה),Search,Implement the search overlay with trending and recent terms plus backend suggestion and result APIs using debounce to avoid extra load.,Search Engineer,BF-104,Not Started,
BF-201,Sprint 2 – Group Participation & Payments (ניהול קבוצות ותשלומים),Group Join API,"Create the /group/join endpoint that validates group status, locks the row, ensures the user is unique, and records the transaction with idempotency keys.",Backend Lead,BF-104,Not Started,
BF-202,Sprint 2 – Group Participation & Payments (ניהול קבוצות ותשלומים),Join UI,"Wire the 'Join for 1₪' button to open the Tranzilla payment modal, capture card details, and show clear success or retry guidance.",Frontend Lead,BF-201;BF-005,Not Started,
BF-203,Sprint 2 – Group Participation & Payments (ניהול קבוצות ותשלומים),Group Lifecycle,"Implement the group state machine (OPEN, LOCKED, CHARGING, CHARGED, FAILED, REFUNDED) with timestamps so automation can react reliably.",Backend Lead,BF-201,Not Started,
BF-204,Sprint 2 – Group Participation & Payments (ניהול קבוצות ותשלומים),Payment Jobs,"Set up Redis/BullMQ jobs that batch charge or refund members when group status changes, including retries and structured logs.",Payments Engineer,BF-203;BF-005,Not Started,
BF-205,Sprint 2 – Group Participation & Payments (ניהול קבוצות ותשלומים),Payment Error UX,"Create UI flows that inform users when pre-auth or charge fails, prompt for card update, and keep their spot in the group.",Frontend Lead,BF-202,Not Started,
BF-206,Sprint 2 – Group Participation & Payments (ניהול קבוצות ותשלומים),Notification Triggers,"Detect join confirmations, 70%/95% progress, 12-hour reminders, success, and failure events then enqueue notification payloads.",Notifications Engineer,BF-203,Not Started,
BF-301,Sprint 3 – User Accounts & Personalization (חשבון משתמש והתאמה אישית),Registration & Login,"Build onboarding carousel plus registration and login screens for email, Google, and Apple with clear error messages for duplicates or wrong passwords.",Mobile Lead,BF-004,Not Started,
BF-302,Sprint 3 – User Accounts & Personalization (חשבון משתמש והתאמה אישית),Profile & Settings,"Create the profile home showing personal info, payment methods, language, and notification toggles with live updates to backend settings.",Frontend Lead,BF-301,Not Started,
