BuyForce MVP – תוכנית ספרינטים דו-שבועית (להעלאה ל-Monday)
פורמט שורה: [Task ID] | [תחום] | [משימה] | [תוצר סופי (DoD)] | [תלויות]

Sprint 0 – 01.12.2025-14.12.2025 | הקמת תשתיות ותיאום
S0-T01 | Product Ops | אישור PRD + מסמך החלטות פתוחות | PRD חתום + רשימת פערים במאנדי | -
S0-T02 | Strategy | הגדרת KPI/OKR מדידים לאביב MVP | לוח KPI במאנדי עם יעד לכל מדד | S0-T01
S0-T03 | Architecture | דיאגרמת ארכיטקטורה על + הקצאת דומיינים | קובץ C4 + מצגת סקירה לכל הצוות | S0-T01
S0-T04 | DevOps | הקמת מונורפו (Next.js, RN, Nest.js) + ברנצ'ינג | ריפו ראשי + תבנית PR + הנחיות code owners | S0-T03
S0-T05 | Infrastructure | הקמת סביבות Local/Staging/Prod + ניהול סודות | Terraform/Ansible בסיסי + vault מאובטח | S0-T04
S0-T06 | CI/CD | GitHub Actions/Bitrise פייפליין לבילדים בסיסיים | תהליך בדיקות + דיליוור לסטייג'ינג אוטומטי | S0-T04
S0-T07 | Design System | בחירת טוקני צבע/טיפוגרפיה + קובץ Figma ראשי | Design kit משותף Web/Mobile | S0-T01
S0-T08 | Integrations | פתיחת חשבונות Tranzilla, Firebase, SendGrid, FCM | Sandbox תקין + מפתחות שמורים | S0-T05
S0-T09 | Data | ERD ראשוני + תיעוד סכמות בטבלת Notion/DBML | קובץ dbdiagram + רשימת מיגרציות MVP | S0-T03
S0-T10 | Analytics | תכנית אינסטרומנטציה (Mixpanel/GA4) + מילון אירועים | מסמך אירועים + שדות חובה | S0-T02

Sprint 1 – 15.12.2025-28.12.2025 | יסודות זהות משתמש ו-Shell אפליקטיבי
S1-T01 | Backend Auth | מודול Auth ב-Nest (Firebase JWT Guards) | Endpoints /auth/login,/register פעילים | S0-T08
S1-T02 | Mobile/Web Auth | מסכי הרשמה/התחברות + אימות בסיסי | Flow מלא Web+RN עם ולידציות | S1-T01
S1-T03 | Onboarding UX | קרוסלת 3 שקופיות + קופי להסברת מודל 1₪ | מסכי Onboarding באפליקציות | S0-T07
S1-T04 | Navigation | Header עליון + Bottom Nav (Home/Cat/MyGroups/Notif/Profile) | Shell רץ ב-Next ו-RN | S0-T04
S1-T05 | User Profile API | GET/PATCH /user/me + user_settings | סכמת DB (users,user_settings) בפרוד | S0-T09
S1-T06 | Profile UI | מסך פרופיל בסיסי (שם, אימייל, שפה) | עריכת פרטים מסנכרנת מול API | S1-T05
S1-T07 | Forgot Password | טריגר reset (Firebase + אימייל) | תרחיש "שכחתי סיסמה" נבדק end-to-end | S0-T08
S1-T08 | Notification Pref Schema | עמודת push/email + toggle ב-UI | טבלת user_settings מעודכנת + API | S1-T05
S1-T09 | QA Auth | סט בדיקות (Cypress/Detox) לזרימות auth | דו"ח מעבר בדיקות אוטומטי | S1-T02
S1-T10 | Telemetry Auth | אירועי onboarding_view/login_success וכו' | משודרים ל-Mixpanel עם user_id | S0-T10

Sprint 2 – 29.12.2025-11.01.2026 | קטלוג, דף בית וחיפוש ראשוני
S2-T01 | Categories DB | יצירת טבלת categories + seed ראשוני | מיגרציה רצה בסטייג'ינג | S0-T09
S2-T02 | Categories API | /categories + /products?category= | מגיב בפחות מ-300ms עם קאש Redis | S2-T01
S2-T03 | Category Grid UI | גריד קטגוריות (web & mobile) עם אייקונים | לחיצה מנווטת לפיד קטגוריה | S2-T02
S2-T04 | Homepage APIs | /groups/near-goal, /groups/top-discounts, /groups/new | מחזירים מידע דמה מה-DB | S0-T09
S2-T05 | Homepage UI | מקטעים דינמיים + שלד טעינה אינסופי | משוך נתונים מה-APIs | S2-T04
S2-T06 | Product Page API | /product/:id כולל images/specs/active group | נתמך ב-SSR Next | S0-T09
S2-T07 | Product Page UI | קרוסלה, מחירים, progress bar, CTA להצטרפות | כתוב ב-Web + קומפוננטה RN | S2-T06
S2-T08 | Wishlist Backend | טבלת wishlist + /wishlist CRUD | בדיקות יחידה לשמירת פריטים | S0-T09
S2-T09 | Wishlist UI | אייקון ♥ על כרטיס + מסך Wishlist בסיסי | מצב נותר בסשן | S2-T08
S2-T10 | Search Overlay v1 | קומפוננטה חיפוש במסך מלא + אוטוקומפליט דמה | התחברות ל-/search/suggestions | S0-T09

Sprint 3 – 12.01.2026-25.01.2026 | ליבת קבוצות וזרימת הצטרפות
S3-T01 | Group Entity | מיגרציית groups + סטטוסים מלאים | טבלה בפרוד + אינדקסים | S0-T09
S3-T02 | Membership Table | group_memberships עם constraints | Unique (group,user) נאכף | S3-T01
S3-T03 | Group Service | לוגיקת יצירה/עדכון סטטוסים (OPEN/LOCKED וכו') | בדיקות יחידה מעבירות | S3-T01
S3-T04 | Join API Skeleton | /group/join בלי תשלום (mock) | מחזיר PREAUTH_HELD דמה | S3-T02
